week_start,year,week_num,doy,brent_usd_bbl,coal_newcastle_usd_t,henry_hub_usd_mmbtu,mad_usd,bdi_index,freight_usgulf_morocco_usd_t,petcoke_fob_usgulf_usd_t,petcoke_cfr_morocco_usd_t,petcoke_cfr_morocco_mad_t,cimar_cement_prod_weekly_t,cimar_petcoke_consumed_weekly_t,cimar_purchase_flag,cimar_volume_purchased_t,cimar_price_paid_usd_t,cimar_price_paid_mad_t,sulphur_pct,cimar_annual_spend_mmad
2005-01-03,2005,1,3,55.13,52.09,10.5,8.8736,2564,19.25,35.2,54.45,483.2,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-01-10,2005,2,10,55.63,51.79,10.484,8.7515,2559,19.59,32.58,52.17,456.6,0,0,1,9680,50.33,440.4,4.66,16.4
2005-01-17,2005,3,17,52.37,51.82,9.849,8.7993,2515,18.24,34.46,52.7,463.7,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-01-24,2005,4,24,54.53,52.86,9.662,8.7465,2735,19.06,34.44,53.5,467.9,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-01-31,2005,5,31,54.14,52.46,9.958,8.8938,2746,19.16,34.56,53.72,477.8,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-02-07,2005,6,38,53.4,53.25,9.346,8.6984,2815,20.69,34.2,54.89,477.5,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-02-14,2005,7,45,55.0,52.58,9.462,8.7358,2724,20.67,34.42,55.09,481.3,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-02-21,2005,8,52,52.85,53.5,9.799,8.7384,2943,21.27,34.75,56.02,489.5,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-02-28,2005,9,59,54.18,52.59,9.961,8.84,2767,19.87,33.17,53.04,468.9,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-03-07,2005,10,66,53.76,54.16,10.218,8.7756,3054,21.1,33.96,55.06,483.2,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-03-14,2005,11,73,55.93,55.14,9.525,8.8762,2411,19.6,35.28,54.88,487.1,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-03-21,2005,12,80,55.06,52.98,8.629,8.7665,2960,21.65,33.92,55.57,487.2,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-03-28,2005,13,87,54.39,52.02,9.536,8.8002,2804,20.49,33.92,54.41,478.8,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-04-04,2005,14,94,56.8,51.59,8.899,8.7559,2635,19.85,34.37,54.22,474.7,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-04-11,2005,15,101,55.48,52.09,8.331,8.7541,2834,19.6,33.96,53.56,468.9,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-04-18,2005,16,108,55.99,54.93,8.702,8.7958,2874,18.89,35.14,54.03,475.2,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-04-25,2005,17,115,55.48,55.56,8.389,8.7985,2869,19.43,36.16,55.59,489.1,0,0,0,0.0,0.0,0.0,0.0,16.4
2005-05-02,2005,18,122,56.36,52.95,7.969,8.8662,2604,19.97,36.22,56.19,498.2,0,0,0,0.0,0.0,0.0,0.0,16.4
